,title,release_date,original_language,genres,budget,revenue,runtime,year
386,Spider-Man: Into the Spider-Verse,2018-12-06,en,Animation-Action-Adventure-Science Fiction,90000000.0,384298736.0,117.0,2018
387,Empire of Light,2022-12-09,en,Drama-Romance,0.0,5251349.0,115.0,2022
389,Brothers,2009-01-22,en,Drama-Thriller-War,26000000.0,43318349.0,105.0,2009
391,After,2019-04-11,en,Romance-Drama,14000000.0,69497587.0,106.0,2019
394,A Haunted House,2013-01-11,en,Comedy-Horror,2500000.0,60141683.0,86.0,2013
396,Harry Potter and the Half-Blood Prince,2009-07-15,en,Adventure-Fantasy,250000000.0,933959197.0,153.0,2009
397,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,en,Fantasy-Adventure,125000000.0,1341511219.0,130.0,2011
401,The Emperor's New Groove,2000-12-15,en,Adventure-Animation-Comedy-Family-Fantasy,100000000.0,169327687.0,78.0,2000
402,Tenet,2020-08-22,en,Action-Thriller-Science Fiction,205000000.0,365304105.0,150.0,2020
403,The Lord of the Rings: The Two Towers,2002-12-18,en,Adventure-Fantasy-Action,79000000.0,926287400.0,179.0,2002
404,Dog,2022-02-17,en,Drama-Comedy,20000000.0,77263354.0,102.0,2022
409,Gone Girl,2014-10-01,en,Mystery-Thriller-Drama,61000000.0,370890259.0,149.0,2014
410,Triangle of Sadness,2022-09-23,en,Comedy-Drama,15600000.0,24733572.0,147.0,2022
412,"Monsters, Inc.",2001-11-01,en,Animation-Comedy-Family,115000000.0,579700000.0,92.0,2001
415,Daddio,2024-06-27,en,Drama,0.0,966092.0,101.0,2024
416,The Conjuring,2013-07-18,en,Horror-Thriller,13000000.0,320406242.0,112.0,2013
417,Love Lies Bleeding,2024-03-08,en,Crime-Romance-Thriller,0.0,8770948.0,104.0,2024
418,The Craft,1996-05-03,en,Horror-Drama-Fantasy,15000000.0,24800000.0,101.0,1996
420,Luca,2021-06-17,en,Animation-Comedy-Family-Fantasy-Action-Adventure,200000000.0,49750471.0,95.0,2021
421,Indiana Jones and the Dial of Destiny,2023-06-25,en,Adventure-Action,294700000.0,383900000.0,155.0,2023
424,The Lion King,2019-07-12,en,Adventure-Drama-Family,260000000.0,1663075401.0,118.0,2019
427,Despicable Me,2010-07-08,en,Family-Animation-Comedy,69000000.0,543284256.0,95.0,2010
428,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,en,Action-Adventure-Comedy,200000000.0,760098996.0,137.0,2019
433,The Godfather,1972-03-14,en,Drama-Crime,6000000.0,245066411.0,175.0,1972
434,Puss in Boots,2011-10-27,en,Action-Animation-Adventure-Comedy-Family,130000000.0,554987477.0,90.0,2011
435,The Nightmare Before Christmas,1993-10-09,en,Fantasy-Animation-Family,24000000.0,75634409.0,76.0,1993
437,Fury,2014-10-15,en,War-Drama-Action,68000000.0,211817906.0,135.0,2014
438,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,en,Adventure-Fantasy-Action,140000000.0,655011224.0,143.0,2003
440,The Suicide Squad,2021-07-28,en,Action-Comedy-Adventure,185000000.0,168717425.0,132.0,2021
441,After We Fell,2021-09-01,en,Romance-Drama,14000000.0,21500000.0,99.0,2021
443,Wrath of Man,2021-04-22,en,Action-Crime-Thriller,40000000.0,103966489.0,119.0,2021
444,Watcher,2022-06-03,en,Mystery-Thriller-Horror,0.0,2667033.0,96.0,2022
445,The Dark Knight,2008-07-16,en,Drama-Action-Crime-Thriller,185000000.0,1004558444.0,152.0,2008
446,Scary Movie,2000-07-07,en,Comedy,19000000.0,278019771.0,88.0,2000
447,xXx: Return of Xander Cage,2017-01-13,en,Action-Adventure-Crime,85000000.0,346147658.0,107.0,2017
448,Doctor Strange in the Multiverse of Madness,2022-05-04,en,Fantasy-Action-Adventure,200000000.0,955775804.0,126.0,2022
454,After We Collided,2020-09-02,en,Romance-Drama,0.0,42000000.0,105.0,2020
455,The Accountant,2016-10-13,en,Crime-Thriller-Drama,44000000.0,155160045.0,128.0,2016
459,Shrek Forever After,2010-05-16,en,Comedy-Adventure-Fantasy-Animation-Family,165000000.0,752600000.0,93.0,2010
462,The Unbearable Weight of Massive Talent,2022-04-20,en,Action-Comedy-Crime,30000000.0,29116320.0,107.0,2022
464,X,2022-03-17,en,Horror-Mystery-Thriller,10000000.0,14779858.0,106.0,2022
465,The Matrix Resurrections,2021-12-16,en,Science Fiction-Action-Adventure,190000000.0,156497322.0,147.0,2021
467,Frozen,2013-11-20,en,Animation-Family-Adventure-Fantasy,150000000.0,1274219009.0,102.0,2013
468,Cuckoo,2024-08-02,en,Horror-Mystery-Science Fiction,7000000.0,6470705.0,103.0,2024
470,The Hangover,2009-06-02,en,Comedy,35000000.0,469310836.0,100.0,2009
471,The Amazing Spider-Man 2,2014-04-16,en,Action-Adventure-Fantasy,200000000.0,708962323.0,141.0,2014
473,Baghead,2023-12-28,en,Horror,0.0,6278395.0,95.0,2023
475,Ant-Man,2015-07-14,en,Science Fiction-Action-Adventure,130000000.0,519311965.0,117.0,2015
476,The Ministry of Ungentlemanly Warfare,2024-04-18,en,Action-War-Drama,60000000.0,25885290.0,120.0,2024
